Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10
-0.009493887,0.018559808,-0.003807145,-0.001792538,-0.037702677,0.023361399,-0.035939501,0.008453294,-0.005484278,0.014644552
-0.042955658,0.022830419,-0.000549613,0.002221156,-0.007555332,-0.057285178,-0.014956485,-0.002174641,0.016695611,0.003420661
-0.017982952,0.024401855,-5.73E-05,-0.011298787,0.004052298,0.066225835,-0.018168041,-0.000409304,0.011019471,-0.014438509
-0.005388013,-0.005549968,-0.003946248,0.008888808,0.005924832,-0.019017371,-0.009044024,-0.001558403,-0.007691402,-0.002732064
-0.006258985,0.002545424,0.000496051,0.004028372,0.000228774,-0.022129751,0.007833268,-0.006269434,0.002661999,-0.005201107
0.012533238,0.003580751,0.000694555,0.007971606,-0.019765355,0.004760199,-0.005496939,0.006685508,-0.00274808,0.007626144
-0.020848896,0.013701502,0.002635336,-0.006984607,0.000368661,0.021921317,0.003893787,-0.017852799,-0.003791783,0.01525663
0.008355592,-0.004690196,0.016807085,-0.003308105,0.011737016,0.042662182,-0.000318197,-0.010594281,-0.00406129,-0.002603713
-0.006384207,0.007454709,0.008683152,-0.006029818,-0.021711101,-0.012865626,0.01266983,-0.001524659,-0.009911038,0.002633916
-0.005795687,0.018475757,-0.002448276,-0.01142186,-0.001785295,0.094770971,-0.004231525,0.007091753,0.012975317,0.001872573
0.012548101,0.018229379,0.008689413,-0.012491686,-0.041467027,0.000422238,0.000316588,0.002513032,0.003558586,-0.007167372
-0.007133288,-0.023859341,0.023117944,-0.00345821,0.026799073,-0.003397604,0.00107078,-0.018318501,-0.0075933,0.009358102
-0.028231397,-0.020429268,-0.015879807,0.006074935,-0.005025396,-0.119835302,0.006717188,0.001600106,-0.001180427,-0.000549743
-0.010894005,0.013875184,-0.02882325,0.00135574,0.002648886,0.011038444,0.011386482,-0.049326188,-0.01589216,-0.000153451
0.003353961,0.001121855,0.016093598,-0.003285784,-0.001598258,-0.084477774,-0.013281693,0.013623753,-0.003195038,0.008762974
-0.017820111,0.003256897,0.011175072,-0.006942253,0.006226549,-0.058038137,0.010192166,-0.006526233,0.01809198,0.007152239
0.008359589,-0.017737745,-0.004760882,-0.003511322,0.006225289,0.010739988,-0.009960038,-0.01120879,0.002979168,-0.000745459
0.012255451,0.007989241,-0.001110415,7.52E-05,0.035709502,0.049124798,0.031747848,-0.006570127,-0.003937237,-0.006629515
0.025798683,0.012681101,0.012348263,-0.014328617,-0.00443455,0.015691958,-0.020029751,0.01200694,-0.000548807,-0.000919703
-0.01929655,0.000639899,-0.051704122,0.002554705,-0.000374131,-0.060740067,0.001510963,-0.010242952,0.005029063,-0.001026166
-0.005057902,-0.011530559,0.034798033,0.000603054,0.007753246,0.043437038,0.001305876,0.005299578,-0.009553144,-0.021462851
0.039511743,-0.012171146,-0.070683269,0.004245682,-0.01371136,-0.058273043,0.020683282,0.002866316,-0.002594069,0.005733023
-0.012242916,-0.002880842,-0.027255776,0.006503025,0.011804503,0.057475565,-0.016531357,-0.00225264,-0.011869028,0.001481417
-0.002078614,-0.001925232,-0.005679969,0.007286673,0.006043601,0.046638941,0.006442475,0.017022473,0.000623164,0.000643037
-0.005205405,-0.013385951,-0.024559726,0.012206058,-0.00220163,0.02041496,0.006319506,-0.008498715,-0.002170382,0.009683296
0.024263097,-0.004089088,-0.007594065,0.007040552,0.016220482,-0.033253122,-0.000748004,0.008165117,-0.029512104,0.012471294
-0.025308335,-0.021330777,-0.003474875,0.008730559,0.007402952,0.008975199,-0.012894151,0.018332461,0.036578266,-0.005730709
-0.025785089,-0.003195463,-0.035950008,0.005984204,-0.01065628,-0.013708404,0.002418788,0.003258018,-0.006986538,0.00432069
-0.007467525,-0.027088419,0.008984339,0.0007185,0.005556649,-0.008248804,-0.009236005,0.007260025,-0.003525065,0.006411466
-0.008418778,-0.021611677,0.000471817,0.000101899,-0.006283352,0.053824923,-0.005039713,-0.016992948,-0.004598773,-0.005076628
-0.008295585,0.000566915,0.00239314,0.011660191,0.003685845,0.029934858,0.000212166,-0.006656104,-0.007836588,0.000665491
0.001437352,0.000797,-0.010792435,0.01150791,8.91E-06,-0.006182483,0.002191298,-0.009017426,0.0151294,-0.005113906
-0.009855961,0.002063384,-0.010223947,0.002807351,0.010390419,0.030937437,-0.006703813,0.002603313,-0.013400991,0.000228137
-0.009125919,-0.004225486,-0.017081534,-0.007581766,-0.012475678,0.03193781,-0.005908137,-0.001816273,-0.002248739,-0.01029473
-0.006595051,0.018113285,-0.009735013,0.007078947,-0.011537657,-0.006588395,0.001532515,0.002073072,0.018111682,-0.009702519
-0.026794632,-0.018463514,0.021852016,-0.008476005,-0.005063927,-0.028588534,-0.013532572,-0.002898653,0.004035326,0.004097184
